id,lat,lon
0,-34.641993, -58.379472
1,-34.641463, -58.378753
2,-34.640810, -58.377552
3,-34.640104, -58.376479
4,-34.639574, -58.375621
5,-34.638692, -58.373947
6,-34.638286, -58.370728
7,-34.637752, -58.374119
8,-34.637434, -58.370836
9,-34.637311, -58.369098
10,-34.637064, -58.367360
11,-34.636887, -58.365557
12,-34.636040, -58.363218
13,-34.635510, -58.361909
14,-34.634768, -58.360193
15,-34.633285, -58.360128
16,-34.629542, -58.364785
17,-34.628642, -58.366094
18,-34.627794, -58.367510
19,-34.627759, -58.368690
20,-34.628924, -58.369977
21,-34.630143, -58.371201
22,-34.631202, -58.372209
23,-34.632014, -58.373046
24,-34.633744, -58.374848
25,-34.632826, -58.373947
26,-34.631538, -58.372745
27,-34.627777, -58.368947
28,-34.627706, -58.367209
29,-34.628536, -58.366072
30,-34.629542, -58.364559
31,